LibreOffice	Office	ivan-hc/LibreOffice-appimage		Full-featured office suite: Writer, Calc, Impress and more. Compatible with Microsoft Office documents.
LibreWolf	Network	codeberg:librewolf/bsys6		A privacy-focused fork of Firefox with telemetry removed and hardened defaults.
Firefox	Network	ivan-hc/Firefox-appimage		Mozilla's fast, private and open-source web browser.
Brave	Network	ivan-hc/Brave-appimage		Privacy-first web browser with built-in ad and tracker blocking.
GIMP	Graphics	ivan-hc/GIMP-appimage		The GNU Image Manipulation Program - a powerful free image editor.
Blender	Graphics	ivan-hc/Blender-appimage		Professional 3D modeling, animation and rendering suite.
VLC	AudioVideo	ivan-hc/VLC-appimage		Plays virtually any audio or video file, disc or stream.
OBS-Studio	AudioVideo	ivan-hc/OBS-Studio-appimage		Live streaming and screen recording studio.
Audacity	AudioVideo	audacity/audacity		Free multi-track audio editor and recorder.
Steam	Game	ivan-hc/Steam-appimage		Valve's game store and launcher - install and play your Steam library.
VSCodium	Development	VSCodium/vscodium		Community build of VS Code without Microsoft telemetry.
Obsidian	Office	obsidianmd/obsidian-releases		Powerful knowledge base and note-taking app built on local Markdown files.
qBittorrent	Network	qbittorrent/qBittorrent		Free and open-source BitTorrent client.
